feature,mean_abs_shap,rel_importance,cumulative_importance
Local_feature_59,0.9082207237889262,0.06528900051507118,0.06528900051507118
Local_feature_53,0.5086052641345218,0.036561959535030365,0.10185096005010155
fees,0.3794191323099117,0.027275193436972007,0.12912615348707357
Local_feature_46,0.35339155128864,0.025404156247229585,0.15453030973430315
Local_feature_2,0.3405779597409727,0.024483029297312078,0.17901333903161523
Local_feature_58,0.3023682313969079,0.02173625760603304,0.20074959663764827
Aggregate_feature_8,0.2916047261809011,0.020962504619358013,0.22171210125700627
Local_feature_3,0.27393189065873197,0.019692062603130882,0.24140416386013716
Local_feature_89,0.24655786073094335,0.017724233630236487,0.25912839749037364
out_BTC_min,0.2446961483021711,0.017590401247273516,0.27671879873764715
Local_feature_55,0.23461474017144654,0.016865681976506813,0.293584480714154
size,0.23245600027222507,0.016710497265675518,0.3102949779798295
Local_feature_52,0.22431563761522025,0.016125313369530936,0.32642029134936046
Aggregate_feature_68,0.21544246877925582,0.015487450447525834,0.34190774179688627
Local_feature_90,0.205213514718976,0.01475212458519123,0.3566598663820775
Aggregate_feature_70,0.20292715582906673,0.014587765764883564,0.37124763214696105
Aggregate_feature_46,0.2005802754431631,0.014419056253296066,0.38566668840025714
Local_feature_79,0.18361641284628696,0.013199579968715664,0.3988662683689728
Aggregate_feature_37,0.17769291975691195,0.012773759534064247,0.41164002790303705
Aggregate_feature_9,0.16700048471887216,0.012005115548719351,0.4236451434517564
Local_feature_65,0.15799698837315113,0.011357883810710876,0.4350030272624673
Aggregate_feature_45,0.15537428937390138,0.011169346606232058,0.44617237386869935
Local_feature_18,0.15395810313766267,0.011067541635826303,0.45723991550452564
Local_feature_80,0.15056880981552917,0.01082389648695616,0.4680638119914818
Aggregate_feature_4,0.13620534792774214,0.009791354456118428,0.47785516644760023
Aggregate_feature_61,0.13256871824954175,0.009529929110148973,0.4873850955577492
in_BTC_median,0.1274538162155033,0.009162235626849329,0.49654733118459854
Aggregate_feature_32,0.12594889057709882,0.009054051472703372,0.5056013826573019
Aggregate_feature_10,0.12461947802204253,0.00895848437682197,0.5145598670341239
Local_feature_61,0.12165133225846457,0.008745114140698526,0.5233049811748225
btc_concentration,0.12115854845567438,0.008709689533979615,0.5320146707088022
Aggregate_feature_28,0.12108226390772649,0.008704205688742651,0.5407188763975448
Aggregate_feature_65,0.11960786677855778,0.008598216128711332,0.5493170925262562
Local_feature_5,0.11822564358331912,0.00849885264961189,0.5578159451758681
Aggregate_feature_44,0.11738164770330457,0.008438180561867509,0.5662541257377356
Aggregate_feature_49,0.1167763656602947,0.008394668826688231,0.5746487945644239
Aggregate_feature_34,0.11514585401166264,0.008277456707344312,0.5829262512717682
Local_feature_64,0.11399849718355141,0.008194976998855593,0.5911212282706239
Local_feature_88,0.11325783872611615,0.008141733498523155,0.5992629617691471
Local_feature_83,0.11048246106283888,0.00794222072707781,0.6072051824962249
Local_feature_73,0.11010283345493384,0.007914930547016022,0.6151201130432409
Aggregate_feature_43,0.10640714534891922,0.007649259684925885,0.6227693727281668
Local_feature_9,0.10519054805556168,0.0075618025071362335,0.630331175235303
Local_feature_41,0.10436334986021231,0.007502337949691514,0.6378335131849945
Aggregate_feature_39,0.10154717785746242,0.007299892607362157,0.6451334057923567
Aggregate_feature_14,0.10114527641347092,0.007271001234487177,0.6524044070268439
Aggregate_feature_51,0.09902023722564623,0.007118239156949872,0.6595226461837937
Local_feature_78,0.09763922968154669,0.007018963067012303,0.6665416092508061
Aggregate_feature_56,0.09554282073922248,0.006868259123653469,0.6734098683744596
Aggregate_feature_69,0.0939661218142772,0.006754915424014671,0.6801647837984742
Local_feature_23,0.09119092866507354,0.006555415916679174,0.6867201997151534
Aggregate_feature_13,0.08994723933760407,0.006466011181668289,0.6931862108968218
in_BTC_min,0.08981525082483535,0.006456522961621745,0.6996427338584434
Local_feature_76,0.0886925173484625,0.0063758133448984095,0.7060185472033419
btc_flow_ratio,0.08632920798928917,0.006205922808460706,0.7122244700118026
Aggregate_feature_2,0.08338798422384612,0.005994487906231389,0.7182189579180339
Aggregate_feature_38,0.08329310865073113,0.005987667613344732,0.7242066255313786
Local_feature_40,0.08018821265462495,0.005764466852803476,0.7299710923841821
Local_feature_67,0.07933658098374999,0.005703245853169769,0.7356743382373518
Local_feature_29,0.07903986265335536,0.005681915748363145,0.741356253985715
Local_feature_77,0.07713294049766951,0.005544833386836116,0.7469010873725511
Local_feature_16,0.07554801418717388,0.005430898247511605,0.7523319856200628
Aggregate_feature_62,0.07426447087422634,0.005338628540572365,0.7576706141606351
Aggregate_feature_1,0.07412626382998759,0.0053286932907524245,0.7629993074513876
out_BTC_median,0.07381316242958977,0.005306185460930438,0.768305492912318
Local_feature_20,0.07174359009390398,0.005157410712951918,0.7734629036252699
Aggregate_feature_16,0.07164646496403154,0.005150428706829207,0.7786133323320992
Local_feature_11,0.07160678148161577,0.005147575991805182,0.7837609083239043
Local_feature_47,0.07045732521662505,0.0050649453617046605,0.788825853685609
Local_feature_72,0.0691116414767993,0.004968208583869336,0.7937940622694784
Aggregate_feature_22,0.06796127363475893,0.004885512423493073,0.7986795746929715
Local_feature_43,0.0676309443464003,0.004861766137471524,0.803541340830443
Aggregate_feature_7,0.06553680299477836,0.004711225203749721,0.8082525660341927
Aggregate_feature_72,0.06515762703348271,0.004683967491077127,0.8129365335252698
Local_feature_85,0.0635327919639439,0.004567163442332827,0.8175036969676027
Local_feature_10,0.06347458175186912,0.004562978901651705,0.8220666758692544
Aggregate_feature_58,0.06279449538635162,0.00451408972977361,0.826580765599028
Aggregate_feature_57,0.061140495401070895,0.004395189111165817,0.8309759547101938
Aggregate_feature_67,0.059369669733748076,0.0042678902785388585,0.8352438449887327
Aggregate_feature_33,0.05879972687034911,0.004226918960744238,0.839470763949477
Aggregate_feature_64,0.058781788320877486,0.004225629417426171,0.8436963933669032
Aggregate_feature_71,0.05588002636444477,0.00401703129484889,0.847713424661752
Local_feature_84,0.054811771833212064,0.003940237990299622,0.8516536626520517
Aggregate_feature_50,0.05364073507529781,0.0038560560095453494,0.855509718661597
Aggregate_feature_63,0.05213534109399467,0.00374783818776888,0.8592575568493659
Local_feature_42,0.051671072756052684,0.0037144634640248865,0.8629720203133908
Local_feature_60,0.05096948087397294,0.003664028331297041,0.8666360486446879
Local_feature_91,0.04920623777052397,0.003537274584246418,0.8701733232289344
Local_feature_49,0.047327908280123336,0.003402247655379795,0.8735755708843141
Local_feature_1,0.045744725351758976,0.0032884378420623716,0.8768640087263765
Aggregate_feature_21,0.04459842789434308,0.0032060342882484594,0.880070043014625
Local_feature_28,0.04375462758443099,0.003145376259395474,0.8832154192740205
Aggregate_feature_40,0.041900411440970446,0.003012082759726793,0.8862275020337472
Local_feature_54,0.041369545271007044,0.002973920536892259,0.8892014225706395
Aggregate_feature_52,0.04018280380064386,0.0028886095960159474,0.8920900321666555
Aggregate_feature_17,0.039057365251177624,0.00280770552048545,0.894897737687141
Local_feature_17,0.038613139265732545,0.002775771575539186,0.8976735092626802
Aggregate_feature_55,0.03845024667942148,0.002764061763295311,0.9004375710259755
Local_feature_25,0.03821753762689482,0.002747333074935403,0.9031849041009109
Aggregate_feature_5,0.038014030316190175,0.002732703603744759,0.9059176077046557
Local_feature_8,0.03756013859230333,0.0027000748206544474,0.9086176825253102
Aggregate_feature_47,0.03710842140774379,0.0026676023580438847,0.911285284883354
Local_feature_13,0.03687366905764514,0.0026507267837423375,0.9139360116670964
Local_feature_66,0.03684316310741825,0.0026485338113206476,0.9165845454784171
degree_sum,0.03600357320369519,0.0025881784547197306,0.9191727239331368
Local_feature_22,0.03581534303271528,0.0025746472068543546,0.9217473711399912
Aggregate_feature_66,0.03555783177686975,0.0025561355696772196,0.9243035067096684
Local_feature_24,0.03406216023995805,0.002448616662449003,0.9267521233721174
Aggregate_feature_31,0.030280110993111238,0.002176737582003364,0.9289288609541207
Aggregate_feature_19,0.029506775812423617,0.0021211450595165385,0.9310500060136373
Aggregate_feature_53,0.0292857203204648,0.0021052541072949806,0.9331552601209323
Aggregate_feature_30,0.029272999676422835,0.002104339662035525,0.9352595997829678
Aggregate_feature_25,0.028306224522343885,0.0020348413761240402,0.9372944411590919
Aggregate_feature_15,0.02763924153437688,0.001986894162958442,0.9392813353220504
Local_feature_31,0.025159025463560813,0.0018085995875501064,0.9410899349096005
out_BTC_max,0.02486886636080915,0.001787741004044134,0.9428776759136446
Local_feature_26,0.024161573695412584,0.0017368960607546495,0.9446145719743992
in_BTC_total,0.023349253795524837,0.0016785010550330016,0.9462930730294322
Aggregate_feature_59,0.022667056015850093,0.001629460100536002,0.9479225331299682
Local_feature_48,0.022582946223409128,0.0016234137242112122,0.9495459468541795
